User_ID,Product_ID,Product_Name,Rating
U001,P111,Headset Gaming SteelSeries,3
U001,P106,Keyboard Mekanik Fantech,5
U001,P105,Mouse Gaming Razer,3
U001,P107,Keyboard Wireless Keychron,4
U002,P101,Laptop Gaming ASUS,3
U002,P109,Monitor 144Hz LG,5
U002,P108,Cooling Pad DeepCool,5
U002,P111,Headset Gaming SteelSeries,3
U002,P106,Keyboard Mekanik Fantech,5
U002,P105,Mouse Gaming Razer,3
U002,P107,Keyboard Wireless Keychron,4
U003,P108,Cooling Pad DeepCool,5
U003,P105,Mouse Gaming Razer,4
U003,P111,Headset Gaming SteelSeries,4
U003,P106,Keyboard Mekanik Fantech,4
U003,P109,Monitor 144Hz LG,3
U003,P101,Laptop Gaming ASUS,3
U003,P104,Mouse Wireless Logitech,3
U004,P103,MacBook Air M2,5
U004,P112,Earphone TWS Sony,4
U004,P113,Flashdisk 64GB Sandisk,5
U004,P104,Mouse Wireless Logitech,3
U004,P110,Monitor 4K Samsung,4
U004,P114,SSD External 1TB Samsung,3
U004,P101,Laptop Gaming ASUS,4
U005,P112,Earphone TWS Sony,3
U005,P107,Keyboard Wireless Keychron,4
U005,P115,Webcam 1080p Logitech,4
U005,P102,Laptop Office Lenovo,4
U005,P113,Flashdisk 64GB Sandisk,5
U005,P103,MacBook Air M2,4
U005,P114,SSD External 1TB Samsung,3
U005,P110,Monitor 4K Samsung,4
U005,P105,Mouse Gaming Razer,3
U006,P103,MacBook Air M2,4
U006,P104,Mouse Wireless Logitech,4
U006,P110,Monitor 4K Samsung,4
U006,P112,Earphone TWS Sony,5
U006,P115,Webcam 1080p Logitech,5
U006,P105,Mouse Gaming Razer,4
U007,P102,Laptop Office Lenovo,4
U007,P107,Keyboard Wireless Keychron,3
U007,P113,Flashdisk 64GB Sandisk,3
U007,P115,Webcam 1080p Logitech,5
U007,P104,Mouse Wireless Logitech,5
U007,P108,Cooling Pad DeepCool,3
U008,P113,Flashdisk 64GB Sandisk,5
U008,P114,SSD External 1TB Samsung,5
U008,P103,MacBook Air M2,4
U008,P104,Mouse Wireless Logitech,5
U008,P115,Webcam 1080p Logitech,5
U008,P110,Monitor 4K Samsung,4
U008,P111,Headset Gaming SteelSeries,4
U009,P104,Mouse Wireless Logitech,3
U009,P114,SSD External 1TB Samsung,5
U009,P102,Laptop Office Lenovo,3
U009,P113,Flashdisk 64GB Sandisk,5
U009,P101,Laptop Gaming ASUS,3
U010,P108,Cooling Pad DeepCool,5
U010,P109,Monitor 144Hz LG,5
U010,P111,Headset Gaming SteelSeries,4
U010,P106,Keyboard Mekanik Fantech,5
U010,P105,Mouse Gaming Razer,4
U010,P101,Laptop Gaming ASUS,3
U010,P103,MacBook Air M2,3
U011,P101,Laptop Gaming ASUS,5
U011,P106,Keyboard Mekanik Fantech,3
U011,P105,Mouse Gaming Razer,3
U011,P109,Monitor 144Hz LG,4
U011,P111,Headset Gaming SteelSeries,3
U011,P108,Cooling Pad DeepCool,5
U011,P115,Webcam 1080p Logitech,4
U012,P106,Keyboard Mekanik Fantech,3
U012,P108,Cooling Pad DeepCool,3
U012,P101,Laptop Gaming ASUS,5
U012,P109,Monitor 144Hz LG,3
U012,P105,Mouse Gaming Razer,3
U012,P111,Headset Gaming SteelSeries,5
U012,P107,Keyboard Wireless Keychron,3
U013,P105,Mouse Gaming Razer,5
U013,P111,Headset Gaming SteelSeries,4
U013,P108,Cooling Pad DeepCool,3
U013,P106,Keyboard Mekanik Fantech,5
U013,P101,Laptop Gaming ASUS,5
U013,P109,Monitor 144Hz LG,5
U013,P115,Webcam 1080p Logitech,2
U014,P111,Headset Gaming SteelSeries,3
U014,P106,Keyboard Mekanik Fantech,3
U014,P108,Cooling Pad DeepCool,4
U014,P109,Monitor 144Hz LG,3
U014,P105,Mouse Gaming Razer,5
U014,P101,Laptop Gaming ASUS,5
U014,P107,Keyboard Wireless Keychron,2
U015,P101,Laptop Gaming ASUS,3
U015,P111,Headset Gaming SteelSeries,4
U015,P105,Mouse Gaming Razer,3
U015,P103,MacBook Air M2,4
U016,P114,SSD External 1TB Samsung,3
U016,P107,Keyboard Wireless Keychron,3
U016,P110,Monitor 4K Samsung,3
U016,P103,MacBook Air M2,5
U016,P113,Flashdisk 64GB Sandisk,4
U016,P115,Webcam 1080p Logitech,4
U016,P102,Laptop Office Lenovo,4
U016,P112,Earphone TWS Sony,4
U016,P108,Cooling Pad DeepCool,3
U017,P111,Headset Gaming SteelSeries,5
U017,P101,Laptop Gaming ASUS,4
U017,P109,Monitor 144Hz LG,3
U017,P113,Flashdisk 64GB Sandisk,2
U018,P114,SSD External 1TB Samsung,4
U018,P104,Mouse Wireless Logitech,5
U018,P107,Keyboard Wireless Keychron,3
U018,P103,MacBook Air M2,3
U018,P115,Webcam 1080p Logitech,5
U018,P113,Flashdisk 64GB Sandisk,5
U018,P102,Laptop Office Lenovo,3
U018,P101,Laptop Gaming ASUS,2
U019,P105,Mouse Gaming Razer,4
U019,P108,Cooling Pad DeepCool,3
U019,P109,Monitor 144Hz LG,3
U019,P111,Headset Gaming SteelSeries,4
U019,P107,Keyboard Wireless Keychron,2
U020,P108,Cooling Pad DeepCool,3
U020,P106,Keyboard Mekanik Fantech,4
U020,P111,Headset Gaming SteelSeries,3
U020,P109,Monitor 144Hz LG,3
U020,P105,Mouse Gaming Razer,5
U020,P104,Mouse Wireless Logitech,4
U021,P106,Keyboard Mekanik Fantech,5
U021,P101,Laptop Gaming ASUS,3
U021,P109,Monitor 144Hz LG,3
U021,P111,Headset Gaming SteelSeries,3
U021,P105,Mouse Gaming Razer,5
U021,P108,Cooling Pad DeepCool,3
U021,P102,Laptop Office Lenovo,4
U022,P101,Laptop Gaming ASUS,5
U022,P109,Monitor 144Hz LG,5
U022,P105,Mouse Gaming Razer,5
U022,P106,Keyboard Mekanik Fantech,5
U022,P111,Headset Gaming SteelSeries,4
U022,P108,Cooling Pad DeepCool,4
U022,P113,Flashdisk 64GB Sandisk,2
U023,P105,Mouse Gaming Razer,4
U023,P106,Keyboard Mekanik Fantech,3
U023,P108,Cooling Pad DeepCool,3
U023,P101,Laptop Gaming ASUS,4
U023,P111,Headset Gaming SteelSeries,5
U023,P114,SSD External 1TB Samsung,4
U024,P109,Monitor 144Hz LG,4
U024,P105,Mouse Gaming Razer,3
U024,P106,Keyboard Mekanik Fantech,3
U024,P104,Mouse Wireless Logitech,3
U025,P115,Webcam 1080p Logitech,5
U025,P110,Monitor 4K Samsung,4
U025,P114,SSD External 1TB Samsung,5
U025,P112,Earphone TWS Sony,3
U025,P113,Flashdisk 64GB Sandisk,3
U025,P102,Laptop Office Lenovo,4
U025,P111,Headset Gaming SteelSeries,2
U026,P109,Monitor 144Hz LG,5
U026,P105,Mouse Gaming Razer,5
U026,P106,Keyboard Mekanik Fantech,4
U026,P111,Headset Gaming SteelSeries,5
U026,P101,Laptop Gaming ASUS,4
U026,P108,Cooling Pad DeepCool,4
U026,P107,Keyboard Wireless Keychron,2
U027,P110,Monitor 4K Samsung,5
U027,P102,Laptop Office Lenovo,4
U027,P114,SSD External 1TB Samsung,5
U027,P104,Mouse Wireless Logitech,5
U027,P103,MacBook Air M2,4
U027,P112,Earphone TWS Sony,5
U027,P105,Mouse Gaming Razer,2
U028,P104,Mouse Wireless Logitech,4
U028,P102,Laptop Office Lenovo,4
U028,P113,Flashdisk 64GB Sandisk,3
U028,P115,Webcam 1080p Logitech,4
U028,P110,Monitor 4K Samsung,3
U028,P103,MacBook Air M2,5
U028,P107,Keyboard Wireless Keychron,3
U028,P114,SSD External 1TB Samsung,5
U028,P101,Laptop Gaming ASUS,2
U029,P113,Flashdisk 64GB Sandisk,5
U029,P104,Mouse Wireless Logitech,4
U029,P103,MacBook Air M2,4
U029,P115,Webcam 1080p Logitech,5
U029,P112,Earphone TWS Sony,5
U029,P107,Keyboard Wireless Keychron,3
U029,P102,Laptop Office Lenovo,4
U029,P105,Mouse Gaming Razer,2
U030,P108,Cooling Pad DeepCool,3
U030,P101,Laptop Gaming ASUS,4
U030,P111,Headset Gaming SteelSeries,4
U030,P107,Keyboard Wireless Keychron,3
U031,P105,Mouse Gaming Razer,4
U031,P101,Laptop Gaming ASUS,3
U031,P111,Headset Gaming SteelSeries,4
U031,P108,Cooling Pad DeepCool,4
U031,P112,Earphone TWS Sony,4
U032,P109,Monitor 144Hz LG,3
U032,P106,Keyboard Mekanik Fantech,3
U032,P101,Laptop Gaming ASUS,5
U032,P108,Cooling Pad DeepCool,4
U032,P105,Mouse Gaming Razer,4
U032,P111,Headset Gaming SteelSeries,5
U032,P110,Monitor 4K Samsung,3
U033,P101,Laptop Gaming ASUS,5
U033,P108,Cooling Pad DeepCool,5
U033,P105,Mouse Gaming Razer,5
U033,P109,Monitor 144Hz LG,5
U033,P111,Headset Gaming SteelSeries,5
